"","gvkey","viol","Date","gvkey.1","datadate.1","fyearq","fqtr","indfmt","consol","popsrc","datafmt","curcdq","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","aqcy","capxy","prstkcy","costat","dvpspq","dvpsxq","prccq","Index.1","datacqtr","gvkey","websiteSEC","cikSEC","formtype","nameSEC","date.rep","date.fil"
"50",1677,1,"30.06.2004",1677,"30.06.2004",2004,2,"INDL","C","D","STD","USD","2004Q2","2004Q2",499.988,887.622,18.173,35.58,43.44,157.335,197.935,405.079,19.115,96.551,250.987,482.543,38.636,28.672,14.258,0,"I",0,0,15.7,1342,"2004Q2",1677,"http://www.sec.gov/Archives/edgar/data/6720/0001193125-04-135583.txt",6720,"10-Q","K2 INC","30.06.2004","09.08.2004"
"51",1712,1,"31.03.2004",1712,"31.03.2004",2004,1,"INDL","C","D","STD","USD","2004Q1","2004Q1",4.465,53.793,0.295,22.432,14.932,0,31.635,31.786,-0.262,48.517,10.624,21.175,0,0,0.291,0,"A",0,0,0.04,1466,"2004Q1",1712,"http://www.sec.gov/Archives/edgar/data/7039/0000950134-04-010493.txt",7039,"10-Q","ARABIAN AMERICAN DEVELOPMENT CO","31.03.2004","23.07.2004"
"52",1712,1,"31.03.2005",1712,"31.03.2005",2005,1,"INDL","C","D","STD","USD","2005Q1","2005Q1",7.016,53.842,0.257,22.432,14.915,4.342,24.935,29.44,3.917,46.108,17.386,23.587,0,0,0.855,0,"A",0,0,0.6,1470,"2005Q1",1712,"http://www.sec.gov/Archives/edgar/data/7039/0000950134-05-010423.txt",7039,"10-Q","ARABIAN AMERICAN DEVELOPMENT CO","31.03.2005","18.05.2005"
"53",1712,1,"30.06.2004",1712,"30.06.2004",2004,2,"INDL","C","D","STD","USD","2004Q2","2004Q2",4.086,53.131,0.162,22.432,14.879,0,31.029,31.183,0.517,48.442,12.674,21.118,0,0,0.491,0,"A",0,0,0.04,1467,"2004Q2",1712,"http://www.sec.gov/Archives/edgar/data/7039/0000950134-04-012598.txt",7039,"10-Q","ARABIAN AMERICAN DEVELOPMENT CO","30.06.2004","20.08.2004"
"54",1712,1,"30.09.2004",1712,"30.09.2004",2004,3,"INDL","C","D","STD","USD","2004Q3","2004Q3",6.638,55.67,0.163,22.432,19.139,5.128,26.513,31.831,2.453,48.549,14.895,23.021,0,0,0.87,0,"A",0,0,0.05,1468,"2004Q3",1712,"http://www.sec.gov/Archives/edgar/data/7039/0000950134-04-017541.txt",7039,"10-Q","ARABIAN AMERICAN DEVELOPMENT CO","30.09.2004","15.11.2004"
"55",1712,1,"31.12.2004",1712,"31.12.2004",2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",5.065,51.048,0.623,22.432,14.815,4.916,25.493,30.584,-0.032,45.402,18.011,19.647,0,0,2.206,0,"A",0,0,0.14,1469,"2004Q4",1712,"http://www.sec.gov/Archives/edgar/data/7039/0000950134-05-007190.txt",7039,"10-K","ARABIAN AMERICAN DEVELOPMENT CO","31.12.2004","11.04.2005"
"56",1712,1,"31.12.2005",1712,"31.12.2005",2005,4,"INDL","C","D","STD","USD","2005Q4","2005Q4",15.876,66.948,1.739,22.432,12.452,9.839,17.988,29.857,-0.487,48.52,21.666,36.283,0.297,0,3.875,0,"A",0,0,1.46,1473,"2005Q4",1712,"http://www.sec.gov/Archives/edgar/data/7039/0000950134-06-007077.txt",7039,"10-K","ARABIAN AMERICAN DEVELOPMENT CO","31.12.2005","11.04.2006"
"57",1783,1,"28.02.2006",1783,"28.02.2006",2006,1,"INDL","C","D","STD","USD","2006Q1","2006Q1",10.832,13.293,1.115,1.968,0.178,2.603,3.241,5.844,0.543,2.169,4.302,7.449,0,0,0.334,0,"A",0,0,5.89,1569,"2006Q1",1783,"http://www.sec.gov/Archives/edgar/data/7623/0000007623-06-000005.txt",7623,"10QSB","ARTS WAY MANUFACTURING CO INC","28.02.2006","13.04.2006"
"58",1823,1,"31.12.2004",1823,"31.12.2004",2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",24.482,45.236,9.476,7.8,0.908,11.154,6.378,22.576,-0.512,15.221,8.338,22.66,0,0,1.136,0,"A",0,0,5.1,1632,"2004Q4",1823,"http://www.sec.gov/Archives/edgar/data/8063/0000899797-05-000104.txt",8063,"10-K","ASTRONICS CORP","25.03.2005","25.03.2005"
"59",1866,1,"28.02.2005",1866,"28.02.2005",2004,3,"INDL","C","D","STD","USD","2005Q1","2004Q3",20.195,30.606,1.538,4.791,2.719,2.191,15.042,17.588,-0.098,5.963,8.941,13.018,0,0,0.321,0,"I",0,0,2.56,1697,"2005Q1",1866,"http://www.sec.gov/Archives/edgar/data/723639/0001104659-05-016675.txt",723639,"10-Q","AULT INC","27.02.2005","15.04.2005"
"60",1866,1,"29.02.2004",1866,"29.02.2004",2003,3,"INDL","C","D","STD","USD","2004Q1","2003Q3",19.434,30.413,0.989,4.695,5.402,2.352,12.932,15.543,-0.231,10.813,10.73,14.87,0.023,0,0.21,0,"I",0,0,3.05,1693,"2004Q1",1866,"http://www.sec.gov/Archives/edgar/data/723639/0000897101-04-000730.txt",723639,"10-Q","AULT INC","29.02.2004","14.04.2004"
"61",1866,1,"31.05.2004",1866,"31.05.2004",2003,4,"INDL","C","D","STD","USD","2004Q2","2003Q4",18.985,29.835,1.058,4.705,5.11,2.313,13.308,15.824,-0.413,10.673,12.429,14.011,0,0,0.322,0,"I",0,0,2.98,1694,"2004Q2",1866,"http://www.sec.gov/Archives/edgar/data/723639/0000897101-04-001651.txt",723639,"10-K","AULT INC","30.05.2004","25.08.2004"
