"","X","gvkey","viol","datadate","gvkey.1","datadate.1","datacqtr","datafqtr","Index"
"2008",9549,23964,1,"31.03.2007",23964,"31.03.2007","2007Q1","2007Q1",2008
"2009",9558,23978,1,"30.09.2004",23978,"30.09.2004","2004Q3","2004Q3",2009
"2010",9576,24005,1,"31.03.2004",24005,"31.03.2004","2004Q1","2004Q1",2010
"2012",9588,24005,1,"30.06.2007",24005,"30.06.2007","2007Q2","2007Q2",2012
"2013",9608,24032,1,"30.06.2007",24032,"30.06.2007","2007Q2","2007Q2",2013
"2016",9633,24186,1,"30.09.2006",24186,"30.09.2006","2006Q3","2006Q3",2016
"2017",9652,24198,1,"31.03.2007",24198,"31.03.2007","2007Q1","2007Q1",2017
"2030",9681,24224,1,"31.12.2004",24224,"31.12.2004","2004Q4","2004Q4",2030
"2041",9711,24346,1,"31.03.2004",24346,"31.03.2004","2004Q1","2004Q1",2041
"2042",9724,24346,1,"30.06.2007",24346,"30.06.2007","2007Q2","2007Q2",2042
"2046",9733,24356,1,"31.03.2005",24356,"31.03.2005","2005Q1","2005Q1",2046
"2048",9741,24356,1,"31.03.2007",24356,"31.03.2007","2007Q1","2007Q1",2048
"2049",9746,24402,1,"31.03.2004",24402,"31.03.2004","2004Q1","2004Q1",2049
"2053",9776,24415,1,"31.12.2007",24415,"31.12.2007","2007Q4","2007Q4",2053
"2061",9793,24449,1,"31.03.2007",24449,"31.03.2007","2007Q1","2007Q1",2061
"2062",9805,24489,1,"31.12.2005",24489,"31.12.2005","2005Q4","2006Q2",2062
"2064",9821,24491,1,"30.06.2005",24491,"30.06.2005","2005Q2","2005Q2",2064
"2068",9836,24537,1,"31.03.2004",24537,"31.03.2004","2004Q1","2004Q3",2068
"2076",9859,24538,1,"31.07.2005",24538,"31.07.2005","2005Q2","2005Q3",2076
"2077",9876,24660,1,"31.12.2004",24660,"31.12.2004","2004Q4","2004Q4",2077
"2080",9903,24669,1,"31.12.2006",24669,"31.12.2006","2006Q4","2006Q4",2080
"2082",9915,24689,1,"31.12.2004",24689,"31.12.2004","2004Q4","2004Q4",2082
"2085",9925,24689,1,"30.06.2007",24689,"30.06.2007","2007Q2","2007Q2",2085
"2101",9973,24755,1,"31.12.2005",24755,"31.12.2005","2005Q4","2006Q2",2101
"2113",10012,24776,1,"31.01.2007",24776,"31.01.2007","2006Q4","2006Q4",2113
"2114",10022,24783,1,"30.09.2004",24783,"30.09.2004","2004Q3","2004Q4",2114
"2119",10045,24792,1,"30.09.2005",24792,"30.09.2005","2005Q3","2005Q3",2119
"2127",10065,24803,1,"30.09.2005",24803,"30.09.2005","2005Q3","2005Q4",2127
"2129",10099,24856,1,"31.12.2006",24856,"31.12.2006","2006Q4","2006Q4",2129
"2130",10112,24890,1,"30.06.2005",24890,"30.06.2005","2005Q2","2005Q4",2130
"2136",10127,24909,1,"30.09.2004",24909,"30.09.2004","2004Q3","2004Q3",2136
"2137",10145,24912,1,"30.06.2006",24912,"30.06.2006","2006Q2","2006Q2",2137
"2150",10168,24922,1,"31.03.2007",24922,"31.03.2007","2007Q1","2007Q1",2150
"2151",10176,24934,1,"31.03.2004",24934,"31.03.2004","2004Q1","2004Q1",2151
"2163",10215,24954,1,"30.09.2004",24954,"30.09.2004","2004Q3","2004Q3",2163
"2165",10228,24978,1,"31.03.2006",24978,"31.03.2006","2006Q1","2006Q1",2165
"2166",10254,25033,1,"31.10.2007",25033,"31.10.2007","2007Q3","2007Q4",2166
"2167",10268,25079,1,"30.06.2006",25079,"30.06.2006","2006Q2","2006Q2",2167
"2174",10300,25118,1,"30.09.2005",25118,"30.09.2005","2005Q3","2005Q3",2174
"2178",10321,25132,1,"31.12.2005",25132,"31.12.2005","2005Q4","2005Q4",2178
"2180",10328,25132,1,"30.09.2007",25132,"30.09.2007","2007Q3","2007Q3",2180
"2187",10359,25168,1,"30.06.2007",25168,"30.06.2007","2007Q2","2007Q2",2187
"2188",10374,25314,1,"30.04.2007",25314,"30.04.2007","2007Q1","2006Q4",2188
"2193",10400,25320,1,"30.06.2006",25320,"30.06.2006","2006Q2","2006Q3",2193
"2196",10416,25331,1,"31.08.2005",25331,"31.08.2005","2005Q3","2005Q4",2196
"2203",10449,25399,1,"30.06.2006",25399,"30.06.2006","2006Q2","2006Q2",2203
"2207",10473,25623,1,"30.04.2007",25623,"30.04.2007","2007Q1","2006Q4",2207
"2211",10483,25655,1,"31.12.2004",25655,"31.12.2004","2004Q4","2004Q4",2211
"2216",10515,25694,1,"30.09.2004",25694,"30.09.2004","2004Q3","2005Q1",2216
"2217",10530,25726,1,"31.03.2006",25726,"31.03.2006","2006Q1","2006Q1",2217
"2220",10544,25731,1,"31.07.2004",25731,"31.07.2004","2004Q2","2004Q3",2220
"2221",10556,25731,1,"31.07.2007",25731,"31.07.2007","2007Q2","2007Q3",2221
"2222",10572,25774,1,"30.09.2006",25774,"30.09.2006","2006Q3","2006Q3",2222
"2236",10621,25845,1,"31.12.2005",25845,"31.12.2005","2005Q4","2005Q3",2236
"2248",10664,25918,1,"30.09.2006",25918,"30.09.2006","2006Q3","2006Q4",2248
"2253",10696,25937,1,"31.03.2005",25937,"31.03.2005","2005Q1","2005Q1",2253
"2257",10735,25972,1,"30.06.2006",25972,"30.06.2006","2006Q2","2006Q3",2257
"2260",10752,25976,1,"31.12.2005",25976,"31.12.2005","2005Q4","2005Q4",2260
"2261",10780,25979,1,"31.12.2007",25979,"31.12.2007","2007Q4","2007Q4",2261
"2274",10816,26012,1,"31.03.2005",26012,"31.03.2005","2005Q1","2004Q4",2274
"2276",10844,26019,1,"30.04.2005",26019,"30.04.2005","2005Q1","2005Q1",2276
"2278",10859,26039,1,"31.03.2004",26039,"31.03.2004","2004Q1","2004Q1",2278
"2279",10870,26039,1,"31.12.2006",26039,"31.12.2006","2006Q4","2006Q4",2279
"2284",10884,26044,1,"30.04.2005",26044,"30.04.2005","2005Q1","2005Q2",2284
"2285",10903,26045,1,"31.03.2005",26045,"31.03.2005","2005Q1","2005Q1",2285
"2295",10932,26061,1,"30.09.2007",26061,"30.09.2007","2007Q3","2007Q3",2295
"2298",10950,26064,1,"31.03.2007",26064,"31.03.2007","2007Q1","2007Q3",2298
"2299",10967,26069,1,"31.12.2006",26069,"31.12.2006","2006Q4","2006Q4",2299
"2303",10978,27748,1,"30.09.2004",27748,"30.09.2004","2004Q3","2004Q3",2303
"2304",11003,27760,1,"31.12.2005",27760,"31.12.2005","2005Q4","2005Q4",2304
"2305",11010,27760,1,"30.09.2007",27760,"30.09.2007","2007Q3","2007Q3",2305
"2307",11023,27776,1,"31.12.2005",27776,"31.12.2005","2005Q4","2005Q4",2307
"2308",11035,27783,1,"31.03.2005",27783,"31.03.2005","2005Q1","2005Q1",2308
"2309",11061,27784,1,"30.09.2007",27784,"30.09.2007","2007Q3","2007Q4",2309
"2317",11111,27825,1,"30.06.2005",27825,"30.06.2005","2005Q2","2005Q4",2317
"2332",11136,28003,1,"30.06.2004",28003,"30.06.2004","2004Q2","2004Q2",2332
"2334",11163,28018,1,"31.01.2005",28018,"31.01.2005","2004Q4","2004Q4",2334
"2336",11185,28118,1,"30.09.2005",28118,"30.09.2005","2005Q3","2005Q3",2336
