"","X","datadate","gvkey","viol","Year","Month","Day","Date","Index","gvkey.1","datadate.1","Year.1","fyearq","fqtr","indfmt","consol","popsrc","datafmt","curcdq","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","aqcy","capxy","prstkcy","costat","dvpspq","dvpsxq","prccq","Index.1"
"470",36511,12312005,6215,1,2005,12,31,"31.12.2005",9621,6215,"31.12.2005",2005,2006,2,"INDL","C","D","STD","USD","2005Q4","2006Q2",59.407,90.918,0.015,6.293,28.179,0.024,55.151,56.25,0.092,1.916,48.108,34.668,0,0,0.094,0,"A",0,0,3.41,10252
"471",36730,12312005,6242,1,2005,12,31,"31.12.2005",9667,6242,"31.12.2005",2005,2005,4,"INDL","C","D","STD","USD","2005Q4","2005Q4",1184,9114,5,254.652,35,4536,1188,7232,66,4289,1647,1882,385,9,276,0,"I",0,0,14.17,10300
"472",36731,12312006,6242,1,2006,12,31,"31.12.2006",9668,6242,"31.12.2006",2006,2006,4,"INDL","C","D","STD","USD","2006Q4","2006Q4",926,7777,9,255.301,84,3550,1067,5970,198,3774,1819,1807,343,0,274,0,"I",0,0,10.56,10304
"473",37462,12312005,6335,1,2005,12,31,"31.12.2005",9877,6335,"31.12.2005",2005,2005,4,"INDL","C","D","STD","USD","2005Q4","2005Q4",466.8,4423.6,31.1,73.412,116.3,1744.3,573.7,2997.4,80.2,2298.3,388.1,1426.2,409.2,1.6,275.7,200.4,"A",0,0,24.43,10538
"474",37463,12312006,6335,1,2006,12,31,"31.12.2006",9878,6335,"31.12.2006",2006,2006,4,"INDL","C","D","STD","USD","2006Q4","2006Q4",606,4637.3,105.5,75.92,92.8,1664.2,637.4,2954.6,130.3,2452.2,442.4,1582.4,417.3,0,241.8,0,"A",0,0,28.98,10542
"475",37647,6302007,6349,1,2007,6,30,"30.06.2007",9931,6349,"30.06.2007",2007,2007,2,"INDL","C","D","STD","USD","2007Q2","2007Q2",109.735,161.149,2.483,7.951,39.1,9.792,103.239,124.104,1.77,37.445,49.972,37.045,0,0,2.244,0.003,"A",0,0,1.3,10614
"476",37666,12312004,6349,1,2004,12,31,"31.12.2004",9934,6349,"31.12.2004",2004,2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",145.121,224.464,8.525,7.945,43.023,15.714,127.31,155.879,3.001,59.73,121.799,68.585,0,0,13.876,0.075,"A",0,0,5.18,10604
"477",38054,1312005,6410,1,2005,1,31,"31.01.2005",10053,6410,"31.01.2005",2005,2004,3,"INDL","C","D","STD","USD","2004Q4","2004Q3",25.128,42.37,1.128,2.492,4.432,0.257,12.156,16.566,-0.499,10.729,15.623,25.804,1.013,0,0.674,0,"A",0.07,0.07,8.67,10740
"478",38066,4302005,6410,1,2005,4,30,"30.04.2005",10057,6410,"30.04.2005",2005,2004,4,"INDL","C","D","STD","USD","2005Q1","2004Q4",26.78,46.212,0.604,2.492,4.82,0.307,16.399,19.623,0.672,10.73,19.205,25.989,0.391,0,0.976,0,"A",0.07,0.07,7.51,10741
"479",38255,3312007,6433,1,2007,3,31,"31.03.2007",10102,6433,"31.03.2007",2007,2007,3,"INDL","C","D","STD","USD","2007Q1","2007Q3",447.982,687.915,104.243,38.797,25.156,0.78,236.899,255.694,14.79,170.418,311.582,432.221,NA,50.815,28.892,0,"A",0,0.16,19.28,10804
"480",38347,3312007,6437,1,2007,3,31,"31.03.2007",10132,6437,"31.03.2007",2007,2007,1,"INDL","C","D","STD","USD","2007Q1","2007Q1",23.777,48.139,0.976,8.166,8.714,0.302,18.962,19.962,5.273,20.861,23.499,28.177,0.698,0,0.525,0,"I",0,0,5.12,10836
"481",38380,12312004,6437,1,2004,12,31,"31.12.2004",10141,6437,"31.12.2004",2004,2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",12.225,37.114,0.634,6.797,1.296,14.257,3.604,18.805,0.604,21.131,8.583,18.309,0.944,0,1.23,0.046,"I",0,0,2.08,10827
"482",38640,12312004,6475,1,2004,12,31,"31.12.2004",10208,6475,"31.12.2004",2004,2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",549.795,4222.278,24.483,76.256,0,1532.131,479.806,2773.547,NA,947.146,795.472,1447.156,267.477,NA,117.26,305.238,"I",0.345,0.345,66.94,10911
"483",38943,12312006,6528,1,2006,12,31,"31.12.2006",10293,6528,"31.12.2006",2006,2006,4,"INDL","C","D","STD","USD","2006Q4","2006Q4",132.495,219.927,4.734,16.767,14.565,86.113,84.251,176.228,7.573,76.404,123.736,43.699,0,0,14.701,0.095,"A",0,0,11.58,11008
"484",39132,4302007,6543,1,2007,4,30,"30.04.2007",10346,6543,"30.04.2007",2007,2006,4,"INDL","C","D","STD","USD","2007Q1","2006Q4",540.798,878.691,51.721,51.377,37.688,111.714,228.21,393.343,12.352,183.218,408.078,485.348,0,0,25.811,6.947,"A",0.12,0.12,11.69,11074
"485",39154,10312007,6543,1,2007,10,31,"31.10.2007",10353,6543,"31.10.2007",2007,2007,2,"INDL","C","D","STD","USD","2007Q3","2007Q2",483.996,825.917,32.692,51.416,38.353,110.774,197.341,371.673,6.771,180.912,365.434,454.244,0,0,15.599,0.116,"A",0.12,0.12,7.89,11076
"486",39374,12312004,6571,1,2004,12,31,"31.12.2004",10417,6571,"31.12.2004",2004,2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",100.745,218.502,0.683,13.887,75.875,11.876,131.112,173.126,6.727,47.961,97.077,45.376,0,0.25,6.37,0.205,"I",0,0,9.1,11135
"487",39762,5312007,6619,1,2007,5,31,"31.05.2007",10529,6619,"31.05.2007",2007,2006,4,"INDL","C","D","STD","USD","2007Q2","2006Q4",266.664,290.283,7.869,8.259,85.536,36.06,161.226,197.286,-1.029,7.281,96.854,92.997,0,0,0.46,0.511,"I",0,0,8.7,11274
"488",39974,5312006,6669,1,2006,5,31,"31.05.2006",10581,6669,"31.05.2006",2006,2006,2,"INDL","C","D","STD","USD","2006Q2","2006Q2",NA,12833.908,350.83,159.21,NA,4140.767,NA,6976.582,501.417,NA,4577.503,5766.219,0,33.329,11.977,270.006,"A",0.16,0.16,47.91,11324
"489",39986,8312006,6669,1,2006,8,31,"31.08.2006",10585,6669,"31.08.2006",2006,2006,3,"INDL","C","D","STD","USD","2006Q3","2006Q3",NA,12501.1,284.414,158.457,NA,3778.972,NA,6497.275,306.478,NA,4182.435,5930.798,0,33.213,22.118,300.002,"A",0.16,0.16,44.84,11325
"490",39996,11302007,6669,1,2007,11,30,"30.11.2007",10589,6669,"30.11.2007",2007,2007,4,"INDL","C","D","STD","USD","2007Q4","2007Q4",NA,9102.747,795.194,159.887,631.535,2205.338,NA,5252.1,-1501.959,23.918,2176.905,3822.119,0,0,NA,3.971,"A",0.16,0.16,15.84,11330
"491",40064,6302006,6678,1,2006,6,30,"30.06.2006",10612,6678,"30.06.2006",2006,2006,2,"INDL","C","D","STD","USD","2006Q2","2006Q2",136.858,146.822,19.854,9.151,0,0,101.786,103.793,9.591,9.076,181.951,43.029,0,0,1.241,1.418,"I",0,0,15.54,11356
"492",40086,12312006,6678,1,2006,12,31,"31.12.2006",10618,6678,"31.12.2006",2006,2006,4,"INDL","C","D","STD","USD","2006Q4","2006Q4",112.372,123.2,4.009,9.147,35.948,0,95.85,98.022,-15.05,9.623,103.372,25.178,0,0,3.586,1.478,"I",0,0,8.65,11358
"493",40289,3312004,6717,1,2004,3,31,"31.03.2004",10659,6717,"31.03.2004",2004,2004,2,"INDL","C","D","STD","USD","2004Q1","2004Q2",6.363,11.742,0.807,1.739,1.57,1.936,3.568,5.548,NA,3.71,0.462,6.194,0.044,0,0.17,0,"I",0,0,5.6,11403
"494",40301,6302004,6717,1,2004,6,30,"30.06.2004",10663,6717,"30.06.2004",2004,2004,3,"INDL","C","D","STD","USD","2004Q2","2004Q3",6.355,11.741,0.604,1.739,1.51,1.858,3.543,5.445,NA,3.748,0.454,6.296,0.044,0,0.356,0,"I",0,0,5.15,11404
"495",40313,9302004,6717,1,2004,9,30,"30.09.2004",10667,6717,"30.09.2004",2004,2004,4,"INDL","C","D","STD","USD","2004Q3","2004Q4",5.996,14.464,0.432,1.731,1.976,3.785,4.145,8.047,NA,6.512,2.073,6.417,0.117,3.597,0.324,0.037,"I",0,0,5.42,11405
"496",40324,12312004,6717,1,2004,12,31,"31.12.2004",10670,6717,"31.12.2004",2004,2005,1,"INDL","C","D","STD","USD","2004Q4","2005Q1",3.077,10.407,0.822,1.732,0.133,0.81,2.216,3.143,NA,5.076,1.662,7.264,0.117,0,0.092,0,"I",0,0,6.08,11406
"497",40525,1312004,6740,1,2004,1,31,"31.01.2004",10725,6740,"31.01.2004",2004,2003,4,"INDL","C","D","STD","USD","2003Q4","2003Q4",4.261,11.838,0.75,9.04,1.145,3.332,6.067,9.414,-0.436,4.58,4.072,2.424,0,1.799,0.468,0,"I",0,0,1.05,11475
"498",40526,1312005,6740,1,2005,1,31,"31.01.2005",10726,6740,"31.01.2005",2005,2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",4.279,11.49,0.858,9.04,1.388,2.934,6.86,9.801,-0.368,4.327,5.138,1.689,0,0,0.334,0,"I",0,0,0.59,11479
"499",40534,4302004,6740,1,2004,4,30,"30.04.2004",10727,6740,"30.04.2004",2004,2004,1,"INDL","C","D","STD","USD","2004Q1","2004Q1",4.819,12.226,0.45,9.04,1.18,3.243,7.386,10.644,-0.911,4.466,2.598,1.582,0,0.003,0.016,0,"I",0,0,0.56,11476
"500",40535,4302005,6740,1,2005,4,30,"30.04.2005",10728,6740,"30.04.2005",2005,2005,1,"INDL","C","D","STD","USD","2005Q1","2005Q1",5.789,12.839,1.258,9.04,1.372,2.81,8.637,11.455,-0.172,4.216,4.788,1.384,0,0,0.032,0,"I",0,0,0.4,11480
"501",40553,10312004,6740,1,2004,10,31,"31.10.2004",10730,6740,"31.10.2004",2004,2004,3,"INDL","C","D","STD","USD","2004Q3","2004Q3",5.174,12.542,0.84,9.04,1.333,3.32,6.938,10.273,0.345,4.438,6.217,2.269,0,0.018,0.23,0,"I",0,0,1.01,11478
"502",41426,9302007,6839,1,2007,9,30,"30.09.2007",10946,6839,"30.09.2007",2007,2007,3,"INDL","C","D","STD","USD","2007Q3","2007Q3",39.523,97.884,1.364,17.339,6.819,13.284,28.862,45.956,1.901,34.948,32.601,51.928,0,0,24.568,0,"I",0,0,4.92,11711
"503",41509,9302005,6845,1,2005,9,30,"30.09.2005",10960,6845,"30.09.2005",2005,2005,3,"INDL","C","D","STD","USD","2005Q3","2005Q3",109.631,252.912,3.302,16.166,4.603,36.361,47.215,109.057,5.922,104.738,74.999,143.855,10.064,0,11.809,0,"A",0,0,8.93,11719
"504",41520,12312004,6845,1,2004,12,31,"31.12.2004",10963,6845,"31.12.2004",2004,2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",100.697,248.397,1.58,16.144,5.172,32.941,46.448,103.893,3.91,108.946,75.898,144.504,10.098,0,24.678,2.844,"A",0,0,11.86,11716
"505",41521,12312005,6845,1,2005,12,31,"31.12.2005",10964,6845,"31.12.2005",2005,2005,4,"INDL","C","D","STD","USD","2005Q4","2005Q4",98.261,248.249,2.162,16.21,3.185,30.256,40.556,105.02,4.147,103.458,77.491,143.229,17.332,0,15.175,0,"A",0,0,8.15,11720
"506",41532,3312005,6848,1,2005,3,31,"31.03.2005",10968,6848,"31.03.2005",2005,2005,1,"INDL","C","D","STD","USD","2005Q1","2005Q1",25.627,34.404,7.387,1.632,9.202,2.963,20.955,23.918,0.527,8.183,10.595,10.486,0,0,0.031,0,"A",0,0,9.45,11733
"507",41534,3312007,6848,1,2007,3,31,"31.03.2007",10970,6848,"31.03.2007",2007,2007,1,"INDL","C","D","STD","USD","2007Q1","2007Q1",21.18,28.235,5.913,2.155,3.763,2.987,9.662,12.649,-0.381,6.505,9.377,15.586,0,0,0.043,0,"A",0,0,10.32,11741
