gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,curcdq,datacqtr,datafqtr,cik,costat
010235,31/08/2004,2004,2,INDL,C,D,STD,USD,2004Q3,2004Q2,0000724742,A
010235,30/11/2004,2004,3,INDL,C,D,STD,USD,2004Q4,2004Q3,0000724742,A
010235,28/02/2005,2004,4,INDL,C,D,STD,USD,2005Q1,2004Q4,0000724742,A
010235,31/05/2005,2005,1,INDL,C,D,STD,USD,2005Q2,2005Q1,0000724742,A
010236,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000095953,A
010236,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000095953,A
010236,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000095953,A
010236,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000095953,A
010237,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000719483,I
010237,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000719483,I
010237,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000719483,I
010237,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000719483,I
010244,30/06/2004,2004,1,INDL,C,D,STD,USD,2004Q2,2004Q1,0000749290,I
010244,30/09/2004,2004,2,INDL,C,D,STD,USD,2004Q3,2004Q2,0000749290,I
010244,31/12/2004,2004,3,INDL,C,D,STD,USD,2004Q4,2004Q3,0000749290,I
010244,31/03/2005,2004,4,INDL,C,D,STD,USD,2005Q1,2004Q4,0000749290,I
010247,30/06/2004,2004,4,INDL,C,D,STD,USD,2004Q2,2004Q4,0000096021,A
010247,30/09/2004,2005,1,INDL,C,D,STD,USD,2004Q3,2005Q1,0000096021,A
010247,31/12/2004,2005,2,INDL,C,D,STD,USD,2004Q4,2005Q2,0000096021,A
010247,31/03/2005,2005,3,INDL,C,D,STD,USD,2005Q1,2005Q3,0000096021,A
010266,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000718449,I
